Ensembl Gene ID;Base mean expression;Log2FC;Adjusted p-value;Gene name
ENSMUSG00000000244;23.3351637440948;2.46712443721073;0.00631193233606364;Tspan32
ENSMUSG00000000628;16972.5607221478;-1.09908811104239;0.000117485220332804;Hk2
ENSMUSG00000000682;114.465633130613;2.32690922136955;0.0384344376496549;Cd52
ENSMUSG00000000792;11.9043811001747;-2.43788751507584;0.00357706246903281;Slc5a5
ENSMUSG00000001025;2028.09497106468;1.52442356651235;4.21631175596325e-08;S100a6
ENSMUSG00000001131;350.472434409134;4.8223509478779;1.59921083304143e-13;Timp1
ENSMUSG00000001281;68.5093566400149;1.35656177211874;0.0446327494420311;Itgb7
ENSMUSG00000001334;3401.81606745501;-1.46808170739997;3.32850196138344e-09;Fndc5
ENSMUSG00000001493;224.277034173785;1.69256107843698;0.000361830177911141;Meox1
ENSMUSG00000001525;2196.9731075148;1.00599150920523;0.000479189964910271;Tubb5
ENSMUSG00000001870;955.181786294519;1.37868340817656;2.5446529215744e-07;Ltbp1
ENSMUSG00000002068;23.1321162673635;1.12990532684428;0.0386236564184518;Ccne1
ENSMUSG00000002111;54.6643894507163;1.44009844761096;0.0213792082251605;Spi1
ENSMUSG00000002204;28.6792381849662;2.33561889344946;0.0124727667568358;Napsa
ENSMUSG00000002233;1415.19254350616;1.27000078221789;7.47548043896035e-06;Rhoc
ENSMUSG00000002265;2379.05108290775;1.07489721526105;0.00453690298901855;Peg3
ENSMUSG00000002603;355.167784757239;1.0986153047677;0.00158263075139916;Tgfb1
ENSMUSG00000003283;25.0948021967378;1.93802708784509;0.0286750378100869;Hck
ENSMUSG00000003484;20.2610374756951;2.10452330769826;0.0145461676687939;Cyp4f18
ENSMUSG00000003644;229.758528289777;-1.05536997354054;0.00195340277445023;Rps6ka1
ENSMUSG00000003665;4.36961044135985;3.63442524123051;0.00266293761126955;Has1
ENSMUSG00000003812;321.445483339003;1.3094763587833;0.000446789927713113;Dnase2a
ENSMUSG00000003949;461.176759487121;-1.64624462956;0.000464220650054315;Hlf
ENSMUSG00000004267;61.9734743985545;1.20376831657133;0.0301091291144754;Eno2
ENSMUSG00000004347;26.6312742608287;-1.29007730762362;0.00789475745972457;Pde1c
ENSMUSG00000004730;141.809128549795;1.32405748154101;0.0188925354795532;Adgre1
ENSMUSG00000005054;261.36535407894;1.34446794442563;8.02889079719153e-08;Cstb
ENSMUSG00000005087;537.254229667957;1.25378400307819;0.000876333691343938;Cd44
ENSMUSG00000005089;6.87709630785129;2.24080784699268;0.0148332451823187;Slc1a2
ENSMUSG00000005233;18.6161121149939;1.16947817685795;0.0497154591508769;Spc25
ENSMUSG00000005580;606.508506718763;-1.07070653740289;0.0351005065267896;Adcy9
ENSMUSG00000006204;7.29963971014169;6.54169714063206;4.54794832873572e-06;Cdcp3
ENSMUSG00000006235;12.640661881458;1.18519749043546;0.0408386593140983;Epor
ENSMUSG00000006310;4.36183738813117;2.46369333756004;0.0458983969457788;Zbtb32
ENSMUSG00000006386;1020.16943629819;-1.07141603682691;0.0125751464950951;Tek
ENSMUSG00000006395;70.88006980694;1.00942270099178;0.0107713534559999;Hyi
ENSMUSG00000006519;252.407473619695;1.1010816061029;0.00119448221500446;Cyba
ENSMUSG00000006576;436.484430761801;1.43808838852793;5.09627484412034e-09;Slc4a3
ENSMUSG00000006585;26.3968065757709;1.44840298352574;0.0200516419902311;Cdt1
ENSMUSG00000006731;100.418808417974;1.75228537410888;0.00725128286447799;B4galnt1
ENSMUSG00000007107;10.6170269796493;-1.81881537131489;0.0360775893295518;Atp1a4
ENSMUSG00000007805;14.5792487262211;1.25209936890678;0.025309995463255;Twist2
ENSMUSG00000008136;58.6728340715362;1.60301667447443;2.47647556122265e-05;Fhl2
ENSMUSG00000010142;22.5829879739853;1.468366262198;0.0319979540662377;Tnfrsf13b
ENSMUSG00000012126;25.7434038226844;1.48114397597118;0.000613310306837558;Ubxn11
ENSMUSG00000012819;241.998159676309;-1.21638630330931;0.00323174512066291;Cdh23
ENSMUSG00000013483;45.299959675605;1.63308666506197;0.00488737045005219;Card14
ENSMUSG00000014453;4.74290738237442;2.76354751050238;0.044744186929946;Blk
ENSMUSG00000014791;60.6752392746746;1.12124792392938;9.62889110800605e-05;Elmo3
ENSMUSG00000015027;99.2687676608201;1.14288682237667;0.000441588679175718;Galns
ENSMUSG00000015355;51.9623084572405;1.78313405951048;0.00144322385276313;Cd48
ENSMUSG00000015396;91.6838929473281;2.01067197253462;0.00508594470672344;Cd83
ENSMUSG00000015476;47.2583387849547;1.23453838416666;0.0257537056957651;Prrt1
ENSMUSG00000015568;18594.125806671;-1.09931894518704;4.92416163147405e-11;Lpl
ENSMUSG00000015852;148.022338111428;1.35739956663824;0.000961890176124525;Fcrls
ENSMUSG00000015950;97.7971341090325;1.4449257005487;0.0211966244996719;Ncf1
ENSMUSG00000016194;204.285389667417;-1.83652899511843;4.91926792736046e-05;Hsd11b1
ENSMUSG00000017057;295.107201558607;1.61425917438886;7.41153691786863e-06;Il13ra1
ENSMUSG00000017344;864.291110378212;-1.03262063607854;0.0012238946625598;Vtn
ENSMUSG00000018008;143.209570014089;1.06384765618823;0.0164082582906935;Cyth4
ENSMUSG00000018042;2994.02728178815;1.00170431068494;0.000105045213305392;Cyb5r3
ENSMUSG00000018451;8.36202951925115;2.62512103761653;0.00168798733488803;6330403K07Rik
ENSMUSG00000018459;12.1058329784568;2.22120040187564;0.010305239233391;Slc13a3
ENSMUSG00000018672;801.700780014169;1.01292133475128;1.14779851427298e-07;Copz2
ENSMUSG00000018830;2070.83018885676;-1.18921273740929;2.41413204335558e-16;Myh11
ENSMUSG00000018923;118.853358336234;1.0569486009236;0.000308674066658958;Med11
ENSMUSG00000019102;57.4050435372482;3.43840933855172;2.61429383836846e-05;Aldh3a1
ENSMUSG00000019122;265.628638096539;1.5373627111889;0.00285217669170357;Ccl9
ENSMUSG00000019464;14.1698932309156;1.55836958650946;0.00908802801389756;Ptger1
ENSMUSG00000019718;39.1401844771843;1.30803189896313;0.00161102675182975;L3hypdh
ENSMUSG00000019832;50.9169252610257;1.19679904970436;0.0259123161224042;Rab32
ENSMUSG00000019853;20.7765383757947;1.54851706575815;0.00781898357886576;Hebp2
ENSMUSG00000019876;8.11688557076353;2.24676607058858;0.0327232450460177;Pkib
ENSMUSG00000019945;10.5937849541947;-1.76286628908815;0.0256638231131026;Cabcoco1
ENSMUSG00000019997;1447.22265825933;2.10880666971933;8.55953261397244e-08;Ccn2
ENSMUSG00000020014;37.37192925;-1.33766868185309;0.000620337259459411;Cfap54
ENSMUSG00000020120;129.629959344577;1.27052758112232;0.0496827782800613;Plek
ENSMUSG00000020143;99.7604009582726;1.75936289927454;0.0127175111846892;Dock2
ENSMUSG00000020154;2783.40771102124;-1.02544529826705;8.94636890119781e-05;Ptprb
ENSMUSG00000020183;294.330090768908;-1.49617467642522;3.81532253537276e-09;Cpm
ENSMUSG00000020230;145.987080190411;1.1064611441985;7.06386226789073e-06;Prmt2
ENSMUSG00000020279;5.03762778911533;3.59074950243333;0.0448264162507667;Il9r
ENSMUSG00000020437;100.734317053538;1.61405274849738;0.0241243838686054;Myo1g
ENSMUSG00000020440;1164.31457119183;1.01148977838422;7.34214780378978e-08;Arf5
ENSMUSG00000020534;205.948505860474;-1.25860369705189;2.87967977421387e-06;Shmt1
ENSMUSG00000020634;3091.09166257501;-1.05000284447218;1.51343763004352e-06;Ubxn2a
ENSMUSG00000020736;233.799297763832;1.1868072450036;4.91355692220881e-05;Nt5c
ENSMUSG00000020901;68.6971131261298;1.65962071340954;0.0240173005377043;Pik3r5
ENSMUSG00000020904;12.8537436398919;1.54438787194934;0.0414850677672507;Cfap52
ENSMUSG00000021108;503.981663489121;-1.03458925586245;7.45392769774571e-06;Prkch
ENSMUSG00000021185;729.213075458516;-1.25324919743531;0.000510569511635337;Dglucy
ENSMUSG00000021190;1937.33225296599;1.02629522992625;8.93213289737443e-10;Lgmn
ENSMUSG00000021223;97.6354990232445;-1.55939593210305;0.00092673512242403;Papln
ENSMUSG00000021255;239.715365228185;-1.36494339488804;1.12509762175958e-09;Esrrb
ENSMUSG00000021298;65.3685092181106;3.2422833602376;0.0119574860210795;Gpr132
ENSMUSG00000021314;35.6546864397426;-1.11975490348372;0.00479895827027126;Amph
ENSMUSG00000021379;101.448583396299;1.22132316047464;3.19397640666877e-05;Id4
ENSMUSG00000021423;83.19636992091;2.00083236512381;0.00177519081839182;Ly86
ENSMUSG00000021559;233.524180807988;1.21320446498389;3.0894243857776e-05;Dapk1
ENSMUSG00000021573;355.09455500506;-1.19173720701175;0.000983583446495129;Tppp
ENSMUSG00000021587;30.7901210685255;-1.21646374990024;0.0208178068653586;Pcsk1
ENSMUSG00000021643;138.026571204012;1.33773716340913;5.65970577908222e-06;Serf1
ENSMUSG00000021699;2370.57798912196;-1.34353931842657;0.000157798928655268;Pde4d
ENSMUSG00000021876;1433.6744888935;1.05614538872901;8.29230246230934e-05;Rnase4
ENSMUSG00000021886;45.4329789197587;2.42434972101558;0.00887512725092225;Gpr65
ENSMUSG00000021903;1112.57909527073;-1.00739269660203;0.000508402652294561;Galnt15
ENSMUSG00000021950;308.947820482845;5.58683302052626;8.85192124768802e-33;Anxa8
ENSMUSG00000022014;65.2357926669111;2.43959495433235;0.00365389476102209;Epsti1
ENSMUSG00000022033;6.09897067082188;2.2738987272104;0.0411479875195634;Pbk
ENSMUSG00000022041;11.1727782714542;-3.07658024235569;0.000313773057856455;Chrna2
ENSMUSG00000022122;551.452107789916;-1.28846718302987;8.44611570127027e-06;Ednrb
ENSMUSG00000022296;28.7970984561458;2.97739725952727;7.38241915553088e-05;Baalc
ENSMUSG00000022416;10.5134118561471;1.96946039368561;0.0344366835837532;Cacna1i
ENSMUSG00000022436;42.8181705916919;1.25935005959367;0.0247094479029947;Sh3bp1
ENSMUSG00000022441;283.201698769725;-1.54667634471209;0.000711981804767504;Efcab6
ENSMUSG00000022505;560.239735394598;1.04758585604733;2.4227542442511e-06;Emp2
ENSMUSG00000022636;48.4981020918216;1.10735073307044;0.0335511680645624;Alcam
ENSMUSG00000022661;1021.83938907683;-1.33191821950445;6.19926829214697e-05;Cd200
ENSMUSG00000022769;75.8342628214376;1.20752802505833;0.000799516243741756;Sdf2l1
ENSMUSG00000022773;9.39821230261274;1.9477324679435;0.0135217090753177;Ypel1
ENSMUSG00000022876;23.1208486523083;2.73804066064827;0.000978616019323326;Samsn1
ENSMUSG00000022901;63.5072708372005;1.48996240484134;0.011842468729224;Cd86
ENSMUSG00000022952;390.132712938156;3.4021220867248;1.38482066368958e-23;Runx1
ENSMUSG00000023031;9.41223627320627;1.60013138202813;0.0381049129740016;Cela1
ENSMUSG00000023046;1195.32163692051;1.34836708214706;2.63253575402833e-05;Igfbp6
ENSMUSG00000023186;1209.13261271738;1.19164050442334;8.91081965116178e-06;Vwa5a
ENSMUSG00000023367;361.055019121856;1.42021887875044;3.37136803153108e-05;Tmem176a
ENSMUSG00000023484;42.1064486709349;2.31872503057776;0.00795425281440268;Prph
ENSMUSG00000023913;1103.46649823653;-1.29741399319062;2.80801176762549e-05;Pla2g7
ENSMUSG00000023947;64.5669522640088;2.44371764724226;7.66825500044446e-08;Nfkbie
ENSMUSG00000024013;74.9307611709353;1.16183731213196;0.0394593521192161;Fgd2
ENSMUSG00000024076;110.882130668705;1.53879260297706;7.47548043896035e-06;Vit
