Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000000031;1343.7851835144584;1671.788218652543;3083.524550378225;3777.4301876869054;0.013663212370214586;0.17576836659633094;WT;1.1982172342930053;0.29281616531605026;OUI;NON
ENSMUSG00000000058;51.84811162167611;39.64713229947065;23.97522926899446;23.20145489986952;0.004750239306432016;0.737899700787046;WT;-1.1095217693734227;-0.04712950004466971;OUI;NON
ENSMUSG00000000184;17.113151743320028;13.317926001523178;6.227759162086144;7.4475752362611845;0.0003676169618726898;0.35937062880295373;WT;-1.443744684084082;0.254318541875855;OUI;NON
ENSMUSG00000000214;0.0;0.01018947616229113;0.321879900039543;0.31488739207009303;0.02550668524485665;0.9353816484893247;WT;2.0768323537244777;-0.024112537619582614;OUI;NON
ENSMUSG00000000296;16.53389396366381;18.45039921421943;33.74886538656003;36.83816530522805;0.012810273290299894;0.46231969286484464;WT;1.0249815351049698;0.12600473487514582;OUI;NON
ENSMUSG00000000305;19.771513845865794;9.113187657602364;0.8231987391672122;0.7308669271570487;8.03947014340704e-05;0.7356572952904806;WT;-4.427916719856896;-0.1520238222812966;OUI;NON
ENSMUSG00000000317;21.058336492975073;15.179405894960103;6.920907746919897;6.6366484700640855;0.016674842591830025;0.8391095583161421;WT;-1.591496728023267;-0.05962655248413388;OUI;NON
ENSMUSG00000000632;0.8105140790035599;0.6276727232617685;0.264018663144729;0.39340485704636735;0.02388110646811436;0.45450943429393165;WT;-1.322668906401478;0.4387594985773727;OUI;NON
ENSMUSG00000000794;5.052544056563183;8.046879605214903;28.862967220467752;34.619408676800056;0.011005479523639505;0.27872334678866734;WT;2.490852571710429;0.2615329644178878;OUI;NON
ENSMUSG00000001014;0.6221817155166932;0.3126609141255875;1.4578897666320816;1.1904241829635953;0.02928466721234554;0.34381173776782226;WT;1.109159355470616;-0.27174777417864143;OUI;NON
ENSMUSG00000001020;1.1217970601602372;1.7895934627253092;43.1810052664718;48.31561327295409;0.049037824401378195;0.7921901599658798;WT;5.146657429025151;0.16173836065109307;OUI;NON
ENSMUSG00000001021;0.04005226624041997;0.032948982476564984;0.3034187984396752;0.4296604125389842;0.017302036127926957;0.5401475743734157;WT;1.5263129835589933;0.39278937191705604;OUI;NON
ENSMUSG00000001025;21.587072048427302;21.407834148174512;51.01034284533803;56.924165384513685;0.04033152107457508;0.5907568150464508;WT;1.2367799796567411;0.15795815727063642;OUI;NON
ENSMUSG00000001175;589.2773631074585;524.311320467662;271.23799124943525;331.7814636128608;0.00019688259531039094;0.13296435670688356;WT;-1.1191005903151052;0.29057699367121637;OUI;NON
ENSMUSG00000001228;1.354864935833033;0.8507366721257716;0.40997347799753253;0.49371495647390146;0.000928721701051445;0.7126076083587918;WT;-1.5123911005511286;0.21934823765566117;OUI;NON
ENSMUSG00000001247;0.2243658255732166;0.4053582033433778;0.6507567708735124;0.42472542927867174;0.025946825134140435;0.3728117145565066;WT;1.210723752542473;-0.5167828734618847;OUI;NON
ENSMUSG00000001333;52.973227625523066;55.86006044518547;113.07909738236216;103.83087209504369;0.006952396429438636;0.4588330573804393;WT;1.0925513434946592;-0.12298327435790495;OUI;NON
ENSMUSG00000001334;68.7881063837985;52.33445518534245;24.471269330212408;29.928075018625496;0.00029402261711445606;0.26195181020949265;WT;-1.4872825333730377;0.2893396043893074;OUI;NON
ENSMUSG00000001552;96.0587389886501;150.3377241115282;195.56304831919732;194.56688590502267;0.008349692925836287;0.9637314832071214;WT;1.024881441466482;-0.007363830283224293;OUI;NON
ENSMUSG00000001870;16.65304979718549;19.054921542905035;63.137241605993964;59.50020373505526;0.013878119525385674;0.760923724286318;WT;1.916350685156795;-0.08545717669186519;OUI;NON
ENSMUSG00000002043;4.341798994236937;5.271853504401383;9.571738267612618;9.458020991881256;0.012166268406080394;0.9248247496168824;WT;1.1226310957798353;-0.01706326740907603;OUI;NON
ENSMUSG00000002076;0.17187337555522958;0.12458228756672647;4.839574028532047;3.980259899215051;0.014516267826271339;0.4957339724858053;WT;4.1833798533576125;-0.2757255841539202;OUI;NON
ENSMUSG00000002233;26.602748136690824;25.00036324599187;64.47754914036435;67.91917008614337;0.008543185721426951;0.7231333667793802;WT;1.2740444627734318;0.07490871502758785;OUI;NON
ENSMUSG00000002319;22.694350429821764;24.309396963366215;46.48650088705978;42.70436079150927;0.020784468517120583;0.562611546463039;WT;1.0312356763297124;-0.12215419171560274;OUI;NON
ENSMUSG00000002489;6.656043295712919;2.7152428962863495;0.9563774593662148;1.2490933992940187;0.02065049621558416;0.026846075028292126;WT;-2.6770531504015445;0.3528648079923346;OUI;NON
ENSMUSG00000002603;5.4852028971718685;5.415807993459964;12.740174294882372;12.219825327460503;0.04533113149830535;0.8425340098541673;WT;1.2009831895387457;-0.05968298459362383;OUI;NON
ENSMUSG00000003153;9.585450033233622;4.448456778054208;1.4320957312088372;1.2362955996320475;0.0005278075039873207;0.2304634748068716;WT;-2.660312639841344;-0.19726726600775832;OUI;NON
ENSMUSG00000003363;17.15437447800101;19.215890607505045;40.28667873662283;33.338494576325196;0.04092936088988903;0.384485516419453;WT;1.2269173358075094;-0.2723696108028979;OUI;NON
ENSMUSG00000003380;57.70940925544771;72.20804937189466;116.85996249409082;95.35078075576193;0.020823464204573948;0.22600169339846202;WT;1.0166385188829048;-0.29318585021207116;OUI;NON
ENSMUSG00000003644;12.254144435247932;11.482970358284051;5.968618034717425;7.409193885550567;0.0037057586723649597;0.2533154324654537;WT;-1.0255551789691266;0.30729002354913465;OUI;NON
ENSMUSG00000003762;3.7786700959625428;3.492949951671034;7.871646714177062;8.441934171782329;0.026297405995917726;0.6639306015918394;WT;1.0393157032621871;0.09968500539963954;OUI;NON
ENSMUSG00000003812;4.896501822245837;6.6290949260178476;12.086362631245837;15.577038192458835;0.011020084172317453;0.19133719101255772;WT;1.2862772905753637;0.36338544533198597;OUI;NON
ENSMUSG00000003948;17.713402718417854;10.621325634607466;4.147115942991068;5.270814888850245;0.00021733899115025;0.1628218126045677;WT;-2.0684077277533106;0.3386575045647865;OUI;NON
ENSMUSG00000004035;1.5955429191213268;2.6575334839739284;4.636257229626215;4.804567221573497;0.016132003312747212;0.8485616445578142;WT;1.4820001332953783;0.05037840189523966;OUI;NON
ENSMUSG00000004347;0.7486628966413338;0.639118319901022;0.13819450537619088;0.2480157140341425;0.007688319736984244;0.16747002594698793;WT;-1.8330514707367016;0.5470123161064963;OUI;NON
ENSMUSG00000004415;2.7080187806057383;2.5017318083138353;1.1598481335311626;1.4687267037316367;0.020720446037372532;0.5100852941712946;WT;-1.1563027479791101;0.3163441978426271;OUI;NON
ENSMUSG00000004665;12.13975625380168;10.430995168095244;5.5152459698515175;6.506701195336788;0.004846270740955023;0.35289657100217536;WT;-1.1241537032145328;0.23458087695696825;OUI;NON
ENSMUSG00000004951;15.415536076046994;12.519663977645823;54.47580087189717;52.020281311370496;0.007014240544715237;0.8017557283181536;WT;1.8145478520126364;-0.0664165255251544;OUI;NON
ENSMUSG00000005054;3.468340476370632;3.5698308406346637;10.513354055727696;12.29369501966121;0.012990236227897746;0.2974194160710427;WT;1.5725554690356964;0.2237257204502201;OUI;NON
ENSMUSG00000005148;2.351533430288794;2.5911995958734093;15.767599444300263;17.019926054574285;0.040062830121679834;0.795094893448089;WT;2.6943275440519057;0.10959258617071617;OUI;NON
ENSMUSG00000005320;7.942058283663263;9.003328511830773;1.2674691422962066;1.9194449772044593;0.0027276381963160772;0.12847104561208772;WT;-2.5560565137344304;0.5624505600276674;OUI;NON
ENSMUSG00000005360;8.740848261890042;6.8308982612177145;2.977374776321481;3.1371750342866336;0.0005199527725356629;0.7844661193503388;WT;-1.5224846478324372;0.07303522212180764;OUI;NON
ENSMUSG00000005465;0.951827996407596;0.9165392405819787;0.41913603791771975;0.5614417719071707;0.04297047146455298;0.6032961729338613;WT;-1.0187142557193594;0.3495015169637124;OUI;NON
ENSMUSG00000005640;0.1641086326689697;0.09660467741261797;0.028803450268265342;0.04657070161020633;0.00327514665556911;0.4746667225887832;WT;-1.035960218726451;0.1864255087580896;OUI;NON
ENSMUSG00000005672;5.50083294037798;3.6208645624818336;1.7398206302251051;2.259160754595967;0.024587806105950755;0.03762913714080028;WT;-1.6060762763813725;0.3587086076530977;OUI;NON
ENSMUSG00000005681;0.1912120326495403;0.5086173218011897;0.8692458273295657;0.8378878302645942;0.001612199481571582;0.8382480429951701;WT;1.7347926513080663;-0.04744722982012111;OUI;NON
ENSMUSG00000005705;0.07482410251614141;0.43408346363051115;0.6754898805504249;1.0673859364756202;0.026796011227982777;0.0807105348578885;WT;2.149203856572637;0.5901017326417213;OUI;NON
