Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue;Pourcentage_Correction
ENSG00000136717;0.9824192567155295;1923.806288016827;1.6671464088578145;1826.5600648526397;8.678986427159979e-05;0.0002004809120356215;WT_treated;-10.08840124016447;10.013570890266895;OUI;OUI;99.25825362107685
ENSMUSG00000000031;933.589973910356;1068.1434856593144;2759.4196891674437;1174.9582557210806;2.5665809129500176e-05;3.70923912405071e-05;WT_treated;1.3691766599602426;-1.231684896311621;OUI;OUI;89.95806979705637
ENSMUSG00000000214;0.010832404183864462;0.05343803503311337;0.361422461992842;0.03188247460526105;0.004804150883564711;0.00407720461637524;WT_treated;1.5884320858967194;-1.8068353732659372;OUI;OUI;113.74961436317412
ENSMUSG00000000244;0.11224398072597659;0.17359779771582584;0.7866415434008258;0.12691625630340603;0.00022787520583249379;0.00013976857395521874;WT_treated;1.696294343741381;-1.9661909937256488;OUI;OUI;115.91095612745302
ENSMUSG00000000305;10.206698814106906;9.95012525517778;1.2525954177281688;9.480969501006454;0.008377260621170435;0.019285478061627177;WT_treated;-2.8934112054051;2.8244412786925173;OUI;OUI;97.61631089421701
ENSMUSG00000000308;0.05344609928952041;0.01621425700810184;1.089863450436214;0.04672344367834005;0.005308070679473139;0.005157416337295972;WT_treated;3.3559370457467512;-3.019624707952124;OUI;OUI;89.97858618591643
ENSMUSG00000000320;1.6703744712312136;1.694947866379445;10.317194550187727;1.4546926474834223;4.876817698420331e-06;6.129970302373837e-06;WT_treated;2.5369529511885633;-2.7442654960641297;OUI;OUI;108.17171416981633
ENSMUSG00000000567;2.265386995135188;1.2612563593986748;9.842242421782359;1.830536709637002;0.014508446808915752;0.01632132047255988;WT_treated;2.8686324921402377;-2.36456929320836;OUI;OUI;82.4284497530707
ENSMUSG00000000682;0.3047160659419806;0.4683408467131453;1.8412821463269717;0.5316377031418456;0.014943004075166199;0.017709997999537482;WT_treated;1.7721815040061168;-1.6198406199521558;OUI;OUI;91.4037650983478
ENSMUSG00000000739;1.6373782922873976;1.526541413321521;4.147329818687378;1.5702292512805438;0.02448640000878842;0.020648080952406958;WT_treated;1.3847485876386283;-1.346510006077065;OUI;OUI;97.23859024841785
ENSMUSG00000000753;58.58482623602362;33.17283202855501;99.94350993995158;42.9125213138158;0.005865075240690848;0.0050731643641945675;WT_treated;1.5882110071814268;-1.2177989722584566;OUI;OUI;76.67740407194957
ENSMUSG00000000794;4.057868477346875;5.825383796118812;35.63892184314738;6.515257456400057;0.0004319317392181706;0.00016451448245897237;WT_treated;2.592515604713458;-2.433626902069237;OUI;OUI;93.87125372383264
ENSMUSG00000001020;0.8869024863863691;1.0184281811878289;58.08902100771902;2.0770020607976307;0.0007475235956122225;0.0007530609249848973;WT_treated;5.701202450710586;-4.740332295565441;OUI;OUI;83.14618426053532
ENSMUSG00000001021;0.03249721255159339;0.00810712850405092;0.469026308387428;0.029089882418087736;0.005866830327699885;0.004826133386710099;WT_treated;2.3960336992475035;-2.140119423662524;OUI;OUI;89.31925387532971
ENSMUSG00000001025;28.30834748065837;26.065055413407237;90.57199913941386;31.059386788166478;1.3467967429418404e-07;4.707043528513857e-06;WT_treated;1.7930157795136932;-1.540990252199818;OUI;OUI;85.94404293298128
ENSMUSG00000001131;0.6341389887239335;0.700320684106772;48.45164240267813;2.208308415159534;0.0033483359858640814;0.0034986294558114095;WT_treated;5.922798093830211;-4.394612198135894;OUI;OUI;74.1982442719394
ENSMUSG00000001228;0.9785488398912405;0.8618848310992314;0.34904340180575355;0.9875361757147618;0.0172835889834514;0.02220693031478319;WT_treated;-1.0990092729747716;1.2761365924981845;OUI;OUI;116.116999439213
ENSMUSG00000001247;0.42071255238075284;0.29927673529259885;0.8822335863893567;0.3372357623324792;0.02047781297611539;0.020961508783739247;WT_treated;1.2986771420075898;-1.167654748168186;OUI;OUI;89.91108794477041
ENSMUSG00000001300;13.659900446801487;13.757512379759481;5.349697121599389;11.954082070395485;0.00016328077761872063;0.00990416591674022;WT_treated;-1.346420340059355;1.1452738361354704;OUI;OUI;85.06064571442646
ENSMUSG00000001333;38.541721212526866;43.96804447795295;100.28499318447166;45.334671725385306;3.1634862954622947e-06;1.408537702406237e-05;WT_treated;1.1877388296761646;-1.1436780529041155;OUI;OUI;96.29036479787683
ENSMUSG00000001334;136.26024465538242;136.76108673860602;26.206314532765163;149.40464821054584;3.637467271156818e-05;2.3199992674293417e-06;WT_treated;-2.3792312593776854;2.5067092907815742;OUI;OUI;105.35795038199241
ENSMUSG00000001473;8.35528782922662;10.825335270667987;237.06394526076178;16.8201260000679;0.009417874120776739;0.01011954662784681;WT_treated;4.440135243358177;-3.809072484496378;OUI;OUI;85.78730770276303
ENSMUSG00000001493;1.9532251667356346;2.0440535293119892;7.658268291910298;2.0739787465861546;0.00048690233739867583;0.00047494220413435976;WT_treated;1.8553937420144833;-1.8353968309198128;OUI;OUI;98.92222811627136
ENSMUSG00000001525;33.98698367906318;39.53912034432317;94.94015462692144;40.48233625660207;0.0034298323612187353;0.005829913900135094;WT_treated;1.261612236191613;-1.22768526234989;OUI;OUI;97.31082389330294
ENSMUSG00000001663;4.8793413912460695;3.64888212937658;14.63166573073322;3.611957882877358;0.0035435587685947708;0.0042157530200455495;WT_treated;1.974388196310703;-1.9886683208423286;OUI;OUI;100.72326827880538
ENSMUSG00000001665;2.3886933953189704;1.8852995674285933;6.11453888971393;1.6249107638928042;0.01695818449487494;0.01279305136799407;WT_treated;1.6462906331486669;-1.8491256214574014;OUI;OUI;112.32072776831565
ENSMUSG00000001794;137.5141450291301;130.72721999707562;294.09991708246935;134.54359491018712;7.449296551329787e-05;0.00011671562683147442;WT_treated;1.1691340998405355;-1.1276512385209296;OUI;OUI;96.45183026568276
ENSMUSG00000001864;2.925626090674154;3.3760046154967833;75.13882253935763;3.6139344287587125;0.0018076130757672432;0.001789700836325274;WT_treated;4.4359753684760586;-4.3404570222185095;OUI;OUI;97.84673404828145
ENSMUSG00000001870;17.259166345002185;14.269228079609181;78.94309391828784;14.854866148318212;0.004403987213574124;0.0043595442400593525;WT_treated;2.4596568564923302;-2.4020244203922663;OUI;OUI;97.65689116656617
ENSMUSG00000001891;1056.4984837999186;1305.535478374374;594.9892886537131;1238.9017304441156;0.0001553410107817847;1.1202615624319262e-05;WT_treated;-1.1335741104142465;1.0580001471408815;OUI;OUI;93.33312542052686
ENSMUSG00000001986;0.9728953202905256;1.0588354837020078;2.5415337341215296;1.1546265406478093;0.02446287103073932;0.031331745217060954;WT_treated;1.1887000682535702;-1.0741178469969608;OUI;OUI;90.36071207360492
ENSMUSG00000002015;31.601706993723592;30.088824465598314;66.18491604200142;30.224777417441185;0.00010198310916108756;4.640538246087955e-05;WT_treated;1.1346660241857272;-1.128183548401276;OUI;OUI;99.42868856204714
ENSMUSG00000002076;0.1867006545037957;0.15470296083284918;8.815227457206163;0.3566092695936604;0.008305904161495908;0.008787962931526849;WT_treated;5.129383970637618;-4.28723955325894;OUI;OUI;83.58195793032405
ENSMUSG00000002083;0.9852212554843657;0.9318539685154771;4.254757720542765;0.8192301251295642;0.00016965027312254826;0.00026183835208392476;WT_treated;2.077353645789629;-2.2440944718247526;OUI;OUI;108.02659794074097
ENSMUSG00000002111;0.4117371044110143;0.529005208188615;1.3874785079878633;0.6351747031665861;0.032099374260618124;0.04938137280271606;WT_treated;1.2417249557782817;-1.0167097931246833;OUI;OUI;81.87882409664925
ENSMUSG00000002204;0.3246527579855764;0.2199575900500083;1.0793241038319912;0.3191954750774065;0.008450138998915857;0.012991669648496946;WT_treated;1.8820076610819578;-1.4922652074983809;OUI;OUI;79.29113348282402
ENSMUSG00000002233;20.742256807986532;22.23866053268568;78.47698384605854;26.075006881268127;0.0003546001679555346;0.0006893578840673826;WT_treated;1.814564109685901;-1.5859168750103714;OUI;OUI;87.39932999175754
ENSMUSG00000002265;52.787435868952436;56.96917876635209;259.18863657907;58.563779541188445;2.5360953466291354e-05;3.709256895822409e-05;WT_treated;2.1837752732416;-2.144017052972087;OUI;OUI;98.17938128806223
ENSMUSG00000002266;7.621655907925072;11.199016375062778;24.21243686560945;9.637541556504258;0.007767957551580072;0.006925520538662176;WT_treated;1.1054973180358212;-1.3200650184916738;OUI;OUI;119.40915602065787
ENSMUSG00000002289;2.5947260300499746;4.6167146526928216;23.308123697227227;4.749551197740217;0.0019140416728804456;0.005305821899142704;WT_treated;2.3111550685154163;-2.2710861541304532;OUI;OUI;98.26628182965825
ENSMUSG00000002489;5.82824488197739;6.584157253608117;1.2648866349760044;5.42085500312509;0.0011718567786572647;0.004777689146047609;WT_treated;-2.2919645466292304;2.016110582961226;OUI;OUI;87.96430054062819
ENSMUSG00000002603;5.316836140475931;5.179767453134201;19.988949673952025;6.188369294064149;0.0003020871902567589;0.00015705297908289836;WT_treated;1.9278558437786277;-1.6756442868450276;OUI;OUI;86.91750949031352
ENSMUSG00000002983;5.4328447926020305;6.365585261847036;20.70630860610521;6.6879031026788915;0.0001547934027435375;5.240771093591769e-05;WT_treated;1.6861681559178252;-1.6159831534104627;OUI;OUI;95.83760354983485
ENSMUSG00000002985;58.20416813414377;39.788987923369206;113.24579122946666;40.234529631102234;0.012525972186738317;0.011629956158061068;WT_treated;1.5066683972699737;-1.4906434848588372;OUI;OUI;98.93640077474664
ENSMUSG00000003051;0.18813249776339944;0.12555385040988284;0.5095287069926121;0.13867265727534905;0.02186625920264643;0.023234079544367296;WT_treated;1.4342222547118717;-1.3526608706842136;OUI;OUI;94.31319764403074
ENSMUSG00000003153;4.724580628282659;5.137515661815596;1.6638269391195455;4.988043838641107;0.001036623484943364;1.9153259054010053e-05;WT_treated;-1.5701736375680881;1.528402085590691;OUI;OUI;97.33968575504231
ENSMUSG00000003283;0.42041627931622344;0.20781515324087663;0.9149691633460741;0.2857725811677281;0.007096189683481242;0.011046141208427885;WT_treated;1.721299736248894;-1.3956133838922171;OUI;OUI;81.07904472946632
ENSMUSG00000003348;4.494190300005948;3.7183931302833715;10.186084128720644;4.241786599930159;0.006827537378469676;0.0069288933938309386;WT_treated;1.429656307443231;-1.2443331345622877;OUI;OUI;87.03722196821249
ENSMUSG00000003363;15.758387938288406;15.951965918676791;42.80229382389867;15.513752721652804;0.00010739190022855335;1.5617058151046244e-05;WT_treated;1.418304787128855;-1.4582374585543494;OUI;OUI;102.81552108966486
ENSMUSG00000003411;0.27352732114924777;0.2149697211235671;0.6241648552400875;0.14856833866068492;0.00020986827562889996;0.0038775809796239924;WT_treated;1.2011050172820956;-1.5426756173332692;OUI;OUI;128.43802946887288
ENSMUSG00000003418;1.8416332886312254;1.941198150216451;0.8365241181591851;2.1071071781442816;0.009369319870373104;0.009235682092370958;WT_treated;-1.1240281858710637;1.236768635697147;OUI;OUI;110.03003751533285
ENSMUSG00000003452;0.3705993102387553;0.44338817658062424;1.2916504659034893;0.4603508917286996;0.03335783838594908;0.03382204483606381;WT_treated;1.356741822121722;-1.3123944710738433;OUI;OUI;96.73133448883885
ENSMUSG00000003484;0.13462471072350743;0.12424364315388477;0.6521593388653997;0.10771717347406197;0.005120476000958874;0.00643352349524641;WT_treated;1.7459712292549483;-1.8564178184432827;OUI;OUI;106.32579656952348
